"id","Date","Taxon","Latitude","Longitude","stateProvince","scientificName"
120609387,"2022-06-06",522193,57.1820618535,-111.4053232329,"Alberta","Alces alces"
120612908,"2022-06-06",522193,44.3552008226,-76.0780197252,"Ontario","Alces alces"
120614734,"2020-10-01",522193,53.67908,-112.8258533333,"Alberta","Alces alces"
140720175,"2022-10-31",522193,51.1032505482,-114.4964852916,"Alberta","Alces alces"
80420033,"2021-05-24",522193,48.024882399,-89.5618672819,"Ontario","Alces alces"
80421932,"2021-05-26",522193,44.8639863857,-76.7630276084,"Ontario","Alces alces"
20141467,"2006-08-26",522193,50.8255252551,-115.2070971111,"Alberta","Alces alces"
20141626,"2005-08-27",522193,50.8789791088,-114.71664901,"Alberta","Alces alces"
140738040,"2022-10-30",522193,53.8417444444,-122.6916666667,"British Columbia","Alces alces"
100528919,"2021-11-07",852462,50.9938284279,-100.3318849028,"Manitoba","Alces alces andersoni"
100538542,"2015-09-15",522193,44.6094761169,-78.5240537645,"Ontario","Alces alces"
100539967,"2021-11-07",522193,52.0270721667,-114.8165583333,"Alberta","Alces alces"
140758381,"2022-10-30",522193,50.6764416667,-99.6516633333,"Manitoba","Alces alces"
100544101,"2021-11-07",522193,45.2630755225,-78.6466170058,"Ontario","Alces alces"
60347308,"2020-09-17",522193,52.520775,-113.79531167,"Alberta","Alces alces"
100553604,"2021-11-07",522193,50.0837971667,-120.816825,"British Columbia","Alces alces"
120658493,"2022-05-22",522193,45.5539867305,-78.5959630832,"Ontario","Alces alces"
20188362,"2005-06-18",522193,50.0183920207,-82.1836718692,"Ontario","Alces alces"
60378985,"2020-09-02",522193,44.4982311,-79.5866498,"Ontario","Alces alces"
60379346,"2020-09-16",522193,54.7920372645,-127.1688230708,"British Columbia","Alces alces"
120687709,"2014-06-28",522193,45.5910024527,-78.3566120984,"Ontario","Alces alces"
140799258,"2022-10-25",522193,47.7780133333,-59.2729616667,"Newfoundland and Labrador","Alces alces"
140801485,"2022-10-28",522193,51.0367894161,-114.2227432877,"Alberta","Alces alces"
20194264,"2015-05-28",522193,48.620892313,-85.427745325,"Ontario","Alces alces"
120697129,"2022-06-07",522193,53.556205,-112.90963,"Alberta","Alces alces"
80494237,"2021-05-25",522193,45.0717528837,-79.1176317445,"Ontario","Alces alces"
99798,"2012-06-27",522193,50.8464890958,-100.0279426575,"Manitoba","Alces alces"
120711078,"2022-06-07",522193,49.3330916667,-119.533745,"British Columbia","Alces alces"
107856,"2006-06-12",522193,50.9544258605,-100.0459671021,"Manitoba","Alces alces"
107857,"2010-06-10",522193,50.8779107514,-100.0552368164,"Manitoba","Alces alces"
107858,"2010-06-10",522193,50.835432307,-100.0250244141,"Manitoba","Alces alces"
107862,"2010-06-15",522193,50.9726972656,-100.0607299805,"Manitoba","Alces alces"
107863,"2010-06-15",522193,50.9734539144,-100.0617599487,"Manitoba","Alces alces"
107864,"2010-01-25",522193,50.8666447309,-100.0387573242,"Manitoba","Alces alces"
120716026,"2022-06-07",522193,51.0852598203,-114.2601437738,"Alberta","Alces alces"
100614578,"2021-11-04",522193,45.5628170712,-78.6326831969,"Ontario","Alces alces"
120720780,"2022-06-02",522193,45.5745,-78.44625,"Ontario","Alces alces"
60413584,"2020-09-18",1404404,45.7938405816,-74.2217494015,"Québec","Alces alces americana"
60414264,"2020-09-21",522193,50.617775,-99.96465333,"Manitoba","Alces alces"
60432753,"2019-04-26",522193,44.4990041497,-79.5880944558,"Ontario","Alces alces"
60432757,"2019-05-24",522193,44.4990384823,-79.5878584214,"Ontario","Alces alces"
120741756,"2022-06-06",522193,50.9222295076,-100.0277261365,"Manitoba","Alces alces"
120741757,"2022-06-06",522193,50.8292927353,-100.0140872206,"Manitoba","Alces alces"
80534232,"2021-05-27",522193,45.7344600798,-66.3446771133,"New Brunswick","Alces alces"
120747538,"2022-06-06",1404404,44.2864202535,-65.2569036443,"Nova Scotia","Alces alces americana"
60444828,"2020-09-19",522193,44.8469943333,-78.9156081667,"Ontario","Alces alces"
20246741,"2013-09-07",522193,45.5528526306,-78.6331481934,"Ontario","Alces alces"
80538166,"2021-05-26",522193,60.10615833,-136.94303833,"Yukon","Alces alces"
80538312,"2021-05-26",522193,60.1096695,-136.942245,"Yukon","Alces alces"
80539357,"2021-05-26",522193,60.10598883,-136.94447167,"Yukon","Alces alces"
80539518,"2021-05-26",522193,60.10589717,-136.94417,"Yukon","Alces alces"
80540237,"2021-05-27",522193,60.10881667,-136.94319167,"Yukon","Alces alces"
60448228,"2020-09-21",522193,51.240361374,-112.6730983704,"Alberta","Alces alces"
40343854,"2009-06-19",522193,45.55397,-78.59676,"Ontario","Alces alces"
40344065,"2020-03-04",522193,54.7042402767,-127.1487289383,"British Columbia","Alces alces"
60456203,"2020-08-31",522193,45.560525,-78.5771416667,"Ontario","Alces alces"
120762436,"2022-05-23",522193,60.580055,-134.8585666667,"Yukon","Alces alces"
20268032,"2019-02-10",1404404,46.6245693,-84.4693457,"Ontario","Alces alces americana"
140907948,"2022-11-02",522193,50.4545466667,-119.2832116667,"British Columbia","Alces alces"
20285418,"2019-02-11",522193,46.6248049213,-81.4609479782,"Ontario","Alces alces"
60505761,"2020-05-19",522193,52.4322225179,-111.6992463035,"Alberta","Alces alces"
20307759,"2016-10-02",522193,50.650452,-114.5996734,"Alberta","Alces alces"
100733677,"2021-11-09",522193,51.0950217001,-114.5213835748,"Alberta","Alces alces"
80626510,"2021-05-28",522193,53.8777320773,-122.8472089772,"British Columbia","Alces alces"
20313681,"2011-05-03",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313682,"2011-06-16",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313683,"2009-11-21",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313685,"2012-03-17",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313686,"2012-03-27",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313688,"2012-04-01",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313689,"2012-05-02",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
20313690,"2012-06-03",522193,45.5230538233,-78.5874673121,"Ontario","Alces alces"
80628019,"2021-05-19",522193,53.7923133333,-122.8712466667,"British Columbia","Alces alces"
40514355,"2005-05-12",522193,60.062806,-129.2272704219,"Yukon","Alces alces"
120844759,"2022-06-05",522193,50.6954488493,-99.9750277027,"Manitoba","Alces alces"
120848058,"2022-06-07",522193,49.1893343729,-117.6254213977,"British Columbia","Alces alces"
80636987,"2021-05-28",522193,53.5069090937,-112.9341346661,"Alberta","Alces alces"
20322526,"2019-02-10",522193,45.0739444,-72.532136,"Québec","Alces alces"
20326615,"2017-08-16",1404404,51.5997598762,-55.5261366059,"Newfoundland and Labrador","Alces alces americana"
60571610,"2020-08-24",1404404,44.8571696115,-78.6104786801,"Ontario","Alces alces americana"
140987726,"2022-10-27",522193,45.733056,-74.275944,"Québec","Alces alces"
120894768,"2022-06-08",522193,45.4033826247,-78.8868789673,"Ontario","Alces alces"
40567113,"2015-09-01",522193,45.9542726571,-79.0879194726,"Ontario","Alces alces"
20367192,"2019-02-10",522193,45.0739444,-72.532136,"Québec","Alces alces"
40572421,"2010-11-06",522193,50.9608703837,-100.0531411171,"Manitoba","Alces alces"
120911854,"2022-05-15",522193,45.6530416667,-78.90097,"Ontario","Alces alces"
60603230,"2020-09-24",522193,45.2753769722,-79.696697,"Ontario","Alces alces"
120917042,"2022-05-17",522193,45.7206283333,-78.73462,"Ontario","Alces alces"
20377249,"2013-09-19",522193,46.0353084151,-78.5154426714,"Ontario","Alces alces"
80698819,"2021-05-24",522193,49.2797383333,-90.5279166667,"Ontario","Alces alces"
100819071,"2015-08-02",522193,54.8655356124,-113.2183477137,"Alberta","Alces alces"
80703207,"2021-05-27",522193,45.5595884661,-78.6365829689,"Ontario","Alces alces"
80715656,"2021-05-28",522193,45.5223166667,-78.711395,"Ontario","Alces alces"
40600530,"2012-05-26",522193,50.8599618031,-100.0392013912,"Manitoba","Alces alces"
120955060,"2022-06-04",522193,51.8588733333,-122.39731,"British Columbia","Alces alces"
100856960,"2021-07-30",522193,46.67217165,-80.85358375,"Ontario","Alces alces"
60645922,"2020-09-06",522193,53.8537531605,-113.0455863542,"Alberta","Alces alces"
60646254,"1987-06-17",522193,49.8879519,-119.4960106,"British Columbia","Alces alces"
80740445,"2021-05-28",522193,49.5950252914,-120.3918829545,"British Columbia","Alces alces"
120969723,"2014-09-23",522193,48.9467619,-66.1233529,"Québec","Alces alces"
60656147,"1987-06-19",522193,51.4253705,-116.1772552,"Alberta","Alces alces"
20431095,"2015-03-19",522193,45.3791593812,-78.8958532956,"Ontario","Alces alces"
40633220,"2020-03-22",522193,52.8559330742,-114.2025704146,"Alberta","Alces alces"
20433136,"2013-04-10",522193,45.5069828622,-78.6368031669,"Ontario","Alces alces"
20433138,"2014-04-17",522193,45.5458117941,-78.5985725872,"Ontario","Alces alces"
20433141,"2014-05-06",522193,45.5230255537,-78.6216006548,"Ontario","Alces alces"
20433142,"2013-05-30",522193,45.5589190787,-78.6289171047,"Ontario","Alces alces"
20433143,"2014-07-25",522193,45.5699757539,-78.5897783108,"Ontario","Alces alces"
20433145,"2013-10-26",522193,45.5399655644,-78.6385248558,"Ontario","Alces alces"
20433147,"2015-06-02",522193,45.5827513299,-78.3993567414,"Ontario","Alces alces"
20433155,"2015-06-11",522193,45.5203478151,-78.648107989,"Ontario","Alces alces"
20433161,"2015-10-17",522193,45.5729930975,-78.5589925088,"Ontario","Alces alces"
20433169,"2013-06-20",522193,45.5851423906,-78.5173607052,"Ontario","Alces alces"
20433175,"2014-06-16",522193,45.5527416667,-78.6105805556,"Ontario","Alces alces"
20433177,"2015-06-11",522193,45.5096425491,-78.6807556227,"Ontario","Alces alces"
40638589,"2020-03-12",522193,46.7032602,-60.3617767,"Nova Scotia","Alces alces"
340853,"2013-07-21",522193,45.92177453,-66.64146212,"New Brunswick","Alces alces"
121005226,"2022-06-09",522193,47.5738666667,-82.8931527778,"Ontario","Alces alces"
80777440,"2021-05-27",522193,45.1115138333,-79.241775,"Ontario","Alces alces"
20453573,"1997-06-20",522193,50.833697671,-100.2062988281,"Manitoba","Alces alces"
20464496,"2012-08-14",522193,61.7635312922,-124.9950134034,"Northwest Territories","Alces alces"
20464501,"2012-08-15",522193,62.2118091057,-127.0824892701,"Northwest Territories","Alces alces"
20464519,"2012-08-16",522193,61.6773057623,-126.5919686033,"Northwest Territories","Alces alces"
80789340,"2021-05-19",522193,64.3776088997,-138.3691555,"Yukon","Alces alces"
20471341,"2017-04-29",522193,45.5149334316,-78.7130633284,"Ontario","Alces alces"
100941310,"2021-10-09",1404404,48.7213873057,-58.1467598082,"Newfoundland and Labrador","Alces alces americana"
80806936,"2021-05-29",1404404,48.9412860325,-55.8534940705,"Newfoundland and Labrador","Alces alces americana"
100943531,"2018-09-15",522193,54.5894392176,-113.1400193808,"Alberta","Alces alces"
20491064,"2002-07-15",522193,60.9548396945,-135.1528930874,"Yukon","Alces alces"
381555,"2013-05-11",522193,50.808375,-99.99949,"Manitoba","Alces alces"
80817196,"2021-05-29",522193,44.690545,-78.5226133333,"Ontario","Alces alces"
100970342,"2021-11-12",522193,52.720648465,-117.6535997737,"Alberta","Alces alces"
20509184,"2007-06-23",522193,66.5699232735,-136.3174729773,"Yukon","Alces alces"
40711763,"2018-06-09",1404404,45.3116200239,-79.2861633881,"Ontario","Alces alces americana"
80834898,"2015-09-26",522193,46.203374,-67.316552,"New Brunswick","Alces alces"
400061,"2012-06-28",1404404,51.586524,-55.496559,"Newfoundland and Labrador","Alces alces americana"
60758197,"2019-12-19",522193,52.268975,-113.8115599,"Alberta","Alces alces"
20513272,"2006-09-17",522193,45.095208,-72.45904,"Québec","Alces alces"
80836142,"2021-05-29",522193,51.0848368271,-114.2604444882,"Alberta","Alces alces"
80838265,"2021-05-29",522193,50.9093366667,-100.0529333333,"Manitoba","Alces alces"
405171,"2003-04-26",522193,45.571791,-78.528128,"Ontario","Alces alces"
20518023,"2016-09-30",522193,60.4183537864,-123.366435552,"Northwest Territories","Alces alces"
60773213,"2020-09-25",522193,53.2384555474,-112.5140195709,"Alberta","Alces alces"
60777466,"2020-09-25",522193,51.1750197048,-114.4249941904,"Alberta","Alces alces"
101001017,"2021-05-19",522193,45.8824830961,-80.5018852823,"Ontario","Alces alces"
60782982,"2020-05-07",522193,52.3968839459,-113.2582217497,"Alberta","Alces alces"
121119740,"2022-06-04",522193,51.4903638883,-121.4396888883,"British Columbia","Alces alces"
121119745,"2022-06-04",522193,51.490380555,-121.439980555,"British Columbia","Alces alces"
121119846,"2022-06-04",522193,51.490368,-121.438797,"British Columbia","Alces alces"
20543805,"2017-09-09",522193,45.5728387889,-78.5091523754,"Ontario","Alces alces"
60806529,"2020-09-25",1404404,47.3661026316,-66.8956100719,"New Brunswick","Alces alces americana"
121133007,"2022-05-30",522193,45.5770501538,-78.5215220261,"Ontario","Alces alces"
80884541,"2021-05-27",522193,45.5693390784,-78.436979907,"Ontario","Alces alces"
40768937,"2020-03-25",522193,56.26142209,-120.86566736,"British Columbia","Alces alces"
20561552,"2017-06-19",415475,52.8962885107,-117.7682593143,"Alberta","Alces alces shirasi"
80895864,"2021-05-30",522193,45.5435097261,-78.6933198058,"Ontario","Alces alces"
141213860,"2022-10-20",522193,49.1021441232,-113.92217969,"Alberta","Alces alces"
20582638,"2018-05-09",522193,48.8576742574,-86.4340478113,"Ontario","Alces alces"
60824485,"2016-10-14",522193,46.7431633333,-60.8286466667,"Nova Scotia","Alces alces"
20600654,"2019-02-22",522193,49.753498401,-119.1270084326,"British Columbia","Alces alces"
141224591,"2022-10-19",522193,50.8056691569,-113.933970767,"Alberta","Alces alces"
80906551,"2021-05-17",522193,49.5497121,-115.6476802,"British Columbia","Alces alces"
101063799,"2021-11-13",522193,54.8389255,-117.6619141997,"Alberta","Alces alces"
20696273,"2017-10-08",522193,48.8485589576,-86.3954711657,"Ontario","Alces alces"
20696277,"2017-10-02",522193,48.8736989232,-86.4885256635,"Ontario","Alces alces"
101068817,"2021-11-11",522193,45.5794410706,-77.2742156981,"Ontario","Alces alces"
121177319,"2022-06-08",522193,55.4596779722,-112.3946443889,"Alberta","Alces alces"
501939,"2012-06-01",522193,45.59266,-78.386765,"Ontario","Alces alces"
80948454,"2021-05-30",522193,50.69723,-70.191095,"Québec","Alces alces"
80949068,"2021-05-25",522193,52.6192224259,-125.539076375,"British Columbia","Alces alces"
60883124,"2014-04-20",522193,48.6473966667,-67.2508416667,"Québec","Alces alces"
40829162,"1997-09-08",522193,48.4850693005,-86.1211791579,"Ontario","Alces alces"
20736157,"2018-10-07",522193,50.6321416667,-101.6949166667,"Saskatchewan","Alces alces"
80964176,"2021-05-30",522193,46.3670297318,-83.4432268018,"Ontario","Alces alces"
121217635,"2022-06-10",522193,45.839275,-79.194755,"Ontario","Alces alces"
80971098,"2021-05-30",522193,45.1430939444,-78.8392154808,"Ontario","Alces alces"
80973548,"2021-05-04",522193,46.6193481987,-84.5447454186,"Ontario","Alces alces"
20751935,"2016-05-10",522193,45.6418342618,-65.1160525944,"New Brunswick","Alces alces"
121235075,"2022-06-10",1404404,45.0822638333,-67.0750361667,"New Brunswick","Alces alces americana"
101149321,"2021-11-14",522193,45.9822866667,-77.5263616667,"Ontario","Alces alces"
101150168,"2021-07-09",522193,51.0345497042,-115.9281852536,"British Columbia","Alces alces"
20768727,"2004-07-06",852460,60.625675,-134.979941,"Yukon","Alces alces gigas"
101171753,"2021-11-13",522193,54.665747,-117.6879129722,"Alberta","Alces alces"
101172470,"2021-11-14",522193,54.678449,-117.6807909722,"Alberta","Alces alces"
20783178,"2018-06-26",522193,46.3417214061,-83.9210353588,"Ontario","Alces alces"
564177,"2009-08-11",522193,51.529946,-55.691199,"Newfoundland and Labrador","Alces alces"
564205,"2009-07-28",522193,49.604425,-57.951465,"Newfoundland and Labrador","Alces alces"
564704,"2009-07-29",522193,49.630839,-57.927732,"Newfoundland and Labrador","Alces alces"
564705,"2009-07-29",522193,49.637621,-57.922411,"Newfoundland and Labrador","Alces alces"
40886492,"2020-03-25",522193,56.26104344,-120.86555707,"British Columbia","Alces alces"
568272,"2013-08-11",522193,45.55397,-78.59676,"Ontario","Alces alces"
121265236,"2022-06-09",522193,58.9642779496,-123.1586512771,"British Columbia","Alces alces"
81030112,"2021-05-29",522193,46.5462470833,-84.5480877778,"Ontario","Alces alces"
60971070,"2020-09-27",1404404,46.5088579722,-80.9676189722,"Ontario","Alces alces americana"
20809684,"2019-01-27",522193,46.404695,-82.0911768981,"Ontario","Alces alces"
81044040,"2021-05-26",522193,53.7020729281,-112.9018589006,"Alberta","Alces alces"
20814767,"2008-03-24",522193,45.3538320169,-79.2627136105,"Ontario","Alces alces"
60992134,"2020-09-26",522193,52.7142425059,-106.4297355233,"Saskatchewan","Alces alces"
61000090,"2020-09-26",522193,46.167879866,-80.7000048111,"Ontario","Alces alces"
20837878,"2019-01-20",415475,52.7649067869,-117.6806579827,"Alberta","Alces alces shirasi"
40945167,"2018-10-01",522193,50.476355,-95.99568,"Manitoba","Alces alces"
101271605,"2021-06-25",522193,61.2606604465,-126.2608285637,"Northwest Territories","Alces alces"
61036078,"2019-09-01",522193,45.5102057623,-78.7238232326,"Ontario","Alces alces"
121347990,"2022-06-11",522193,54.5575361111,-122.9691777778,"British Columbia","Alces alces"
121348156,"2022-06-11",522193,45.1907916667,-72.4031277778,"Québec","Alces alces"
40974308,"2017-08-24",522193,45.5670533647,-78.4384989738,"Ontario","Alces alces"
20869951,"2009-02-21",522193,51.9022894237,-89.0210330837,"Ontario","Alces alces"
81109245,"2021-05-29",522193,51.1756054337,-114.4234905916,"Alberta","Alces alces"
662530,"2012-03-17",522193,48.6338116667,-67.1114166667,"Québec","Alces alces"
101287396,"2021-11-04",522193,47.7407478979,-66.4608046668,"New Brunswick","Alces alces"
101287409,"2021-11-04",522193,47.7825069521,-66.5234674606,"New Brunswick","Alces alces"
61059303,"2020-08-30",415475,52.727305,-117.636025,"Alberta","Alces alces shirasi"
675265,"2009-08-16",522193,51.490821,-116.483843,"British Columbia","Alces alces"
121396840,"2022-06-11",522193,52.5932527135,-113.4368681163,"Alberta","Alces alces"
61096548,"2020-09-25",1404404,47.37863,-66.8807716667,"New Brunswick","Alces alces americana"
707730,"2014-05-30",522193,49.343228,-102.99602,"Saskatchewan","Alces alces"
708345,"2014-05-31",522193,49.1754042451,-102.6701281686,"Saskatchewan","Alces alces"
61100848,"2020-09-28",522193,50.373469,-101.151497,"Manitoba","Alces alces"
61102723,"2020-09-28",522193,52.956377769,-114.8716353625,"Alberta","Alces alces"
121422726,"1997-06-27",522193,49.1684886752,-54.4781011545,"Newfoundland and Labrador","Alces alces"
141471777,"2018-07-03",522193,54.2320838773,-115.6996940076,"Alberta","Alces alces"
101347568,"2021-10-10",415475,52.7918066968,-117.6887195812,"Alberta","Alces alces shirasi"
121434233,"2022-06-04",522193,49.604384,-117.125791,"British Columbia","Alces alces"
81183527,"2021-05-31",852462,53.7338666667,-122.8756166667,"British Columbia","Alces alces andersoni"
739610,"2014-06-09",522193,50.009559,-117.287443,"British Columbia","Alces alces"
742464,"2014-06-17",522193,49.9879027778,-117.3698888889,"British Columbia","Alces alces"
101379633,"2002-07-02",522193,54.9000430574,-100.363836363,"Manitoba","Alces alces"
101380055,"2021-09-01",522193,48.6773003016,-91.1334256135,"Ontario","Alces alces"
121464962,"2022-06-03",522193,46.2586033333,-80.8092283333,"Ontario","Alces alces"
41089322,"2019-07-04",522193,49.5669507855,-109.8983976171,"Saskatchewan","Alces alces"
41090566,"2019-07-23",522193,49.5674551241,-109.8910148843,"Saskatchewan","Alces alces"
141541543,"2022-11-04",1404404,45.572861841,-78.4262115,"Ontario","Alces alces americana"
775285,"2014-06-24",522193,50.184428,-117.472172,"British Columbia","Alces alces"
121503128,"2022-06-08",522193,45.521349,-75.346935,"Ontario","Alces alces"
121505924,"2022-06-09",522193,64.4028272182,-138.2971536176,"Yukon","Alces alces"
121514774,"2022-05-26",522193,51.4487725162,-108.046875,"Saskatchewan","Alces alces"
121518411,"2022-06-12",1404404,47.0382390503,-53.4656068331,"Newfoundland and Labrador","Alces alces americana"
61216754,"2020-09-28",522193,52.7253843629,-117.8196276849,"Alberta","Alces alces"
41137483,"2019-10-14",415475,52.7249174574,-117.6426830002,"Alberta","Alces alces shirasi"
21011104,"2013-06-03",522193,58.7646383333,-123.5961916667,"British Columbia","Alces alces"
21011105,"2014-10-28",522193,46.766675,-60.836105,"Nova Scotia","Alces alces"
21011106,"2016-05-27",522193,49.9368033333,-57.7617366667,"Newfoundland and Labrador","Alces alces"
21011107,"2016-05-31",1404404,48.3745533333,-53.3424,"Newfoundland and Labrador","Alces alces americana"
21011115,"2017-06-23",522193,61.880105,-140.1848616667,"Yukon","Alces alces"
21011116,"2017-09-23",522193,45.5755783333,-78.3613283333,"Ontario","Alces alces"
21011117,"2018-06-07",522193,49.492215,-103.4857183333,"Saskatchewan","Alces alces"
21011122,"2011-06-03",522193,45.5443633333,-78.6809783333,"Ontario","Alces alces"
21011124,"2011-07-29",522193,47.3021166667,-71.3617966667,"Québec","Alces alces"
21011125,"2011-06-04",522193,45.5443633333,-78.6809783333,"Ontario","Alces alces"
21011126,"2012-04-08",522193,45.5441216667,-78.681105,"Ontario","Alces alces"
21011128,"2007-05-14",522193,45.5725799346,-78.4286277059,"Ontario","Alces alces"
21011131,"2007-05-18",522193,45.5769100065,-78.4150663555,"Ontario","Alces alces"
21011133,"2012-05-05",522193,45.580855,-78.3975216667,"Ontario","Alces alces"
21011135,"2011-04-23",522193,45.7373216667,-78.3617716667,"Ontario","Alces alces"
21011136,"2011-04-23",522193,45.7373216667,-78.3617716667,"Ontario","Alces alces"
21011138,"2012-06-09",522193,45.73108,-78.4178966667,"Ontario","Alces alces"
21011140,"2012-06-16",522193,45.6499583333,-78.2021166667,"Ontario","Alces alces"
21011141,"2012-06-10",522193,45.73108,-78.4178966667,"Ontario","Alces alces"
21011142,"2010-04-18",522193,45.5441833333,-78.6809333333,"Ontario","Alces alces"
21011146,"2018-06-13",522193,51.93998,-113.6725183333,"Alberta","Alces alces"
21011151,"2011-04-23",522193,45.7373216667,-78.3617716667,"Ontario","Alces alces"
21013290,"2007-08-10",522193,50.8597938236,-86.6974732482,"Ontario","Alces alces"
121550328,"2022-06-12",522193,50.7382359731,-120.6978550979,"British Columbia","Alces alces"
21021924,"2019-02-15",1404404,46.6259589484,-66.6084632033,"New Brunswick","Alces alces americana"
21022005,"2019-02-15",522193,46.6235359468,-66.6692168321,"New Brunswick","Alces alces"
81293499,"2021-05-31",522193,45.515534,-75.329128,"Ontario","Alces alces"
826884,"1995-06-30",522193,52.900048,-118.756453,"British Columbia","Alces alces"
81310891,"2021-06-01",522193,60.23176167,-132.91288833,"Yukon","Alces alces"
141620998,"2022-11-09",522193,50.4623116667,-119.28675,"British Columbia","Alces alces"
81311213,"2021-06-01",522193,60.23314167,-132.91719167,"Yukon","Alces alces"
838373,"2014-05-19",522193,48.940797,-66.111367,"Québec","Alces alces"
121578404,"2022-05-25",522193,45.6006498241,-78.7302206572,"Ontario","Alces alces"
141633453,"2022-06-22",522193,53.42524078,-112.9021166004,"Alberta","Alces alces"
121589411,"2022-06-12",522193,49.4089964545,-114.0176250177,"Alberta","Alces alces"
121592347,"2022-06-12",522193,45.5846366667,-79.1303861667,"Ontario","Alces alces"
81328011,"2021-06-02",522193,48.6741250574,-91.1361484616,"Ontario","Alces alces"
41195123,"2020-04-01",522193,53.0111060233,-112.8421068449,"Alberta","Alces alces"
81331576,"2021-05-24",522193,45.9935672415,-77.4025138468,"Ontario","Alces alces"
141644030,"2022-05-19",522193,49.0256956121,-113.6871224857,"Alberta","Alces alces"
21064978,"2015-06-14",522193,53.5119983851,-114.6239670142,"Alberta","Alces alces"
21065506,"2011-06-22",522193,61.7616683072,-139.959096364,"Yukon","Alces alces"
121606684,"2022-06-12",522193,45.5311820803,-78.5527454519,"Ontario","Alces alces"
81360308,"2021-06-02",522193,48.4610966667,-71.2091666667,"Québec","Alces alces"
21083668,"2016-06-08",852462,52.2726552589,-113.8625028357,"Alberta","Alces alces andersoni"
101564552,"2021-11-20",522193,46.6243176531,-84.5030617432,"Ontario","Alces alces"
21086150,"2019-03-09",522193,46.4066166667,-80.8765116667,"Ontario","Alces alces"
141687463,"2022-06-21",522193,48.5611333333,-80.2435966667,"Ontario","Alces alces"
21092221,"2015-01-29",1404404,45.6051815456,-78.3387380926,"Ontario","Alces alces americana"
81376105,"2021-06-02",522193,51.1337695,-91.7510383333,"Ontario","Alces alces"
121650957,"2022-06-13",522193,46.9450020809,-84.4076575711,"Ontario","Alces alces"
41250832,"2020-04-02",522193,45.0717528837,-79.1176317445,"Ontario","Alces alces"
121656781,"2022-06-13",522193,54.7236694444,-113.3104361111,"Alberta","Alces alces"
121657052,"2022-06-13",522193,46.7139550997,-84.3864898,"Ontario","Alces alces"
61352574,"2020-09-30",522193,51.20488667,-114.329375,"Alberta","Alces alces"
121672860,"2022-06-06",522193,51.313335,-121.821892,"British Columbia","Alces alces"
121676298,"2022-06-06",522193,51.320858,-121.820358,"British Columbia","Alces alces"
141731933,"2022-11-11",522193,54.6284104285,-113.8300523634,"Alberta","Alces alces"
121688449,"2022-06-13",522193,53.6434208043,-113.5570000656,"Alberta","Alces alces"
141751001,"2020-07-09",852462,49.3517449058,-100.2616317124,"Manitoba","Alces alces andersoni"
141757613,"2021-06-01",522193,55.3644271163,-123.1132402291,"British Columbia","Alces alces"
141757615,"2021-06-02",522193,55.3928462943,-123.2098902466,"British Columbia","Alces alces"
41307550,"2019-05-31",522193,54.1416647222,-122.77382,"British Columbia","Alces alces"
81438089,"2021-06-03",522193,52.2817484472,-113.7931257616,"Alberta","Alces alces"
21150992,"2018-09-19",522193,50.0748222222,-114.4235305556,"Alberta","Alces alces"
81441291,"2014-06-28",522193,45.7537195326,-78.7269322397,"Ontario","Alces alces"
61415898,"2020-09-30",522193,50.83593833,-115.33536667,"Alberta","Alces alces"
21157557,"2014-03-11",522193,48.8124527614,-86.781781436,"Ontario","Alces alces"
121729725,"2019-04-20",1404404,45.5895508157,-78.355488581,"Ontario","Alces alces americana"
121735022,"2022-06-13",522193,60.70932,-134.9503783333,"Yukon","Alces alces"
101670085,"2021-11-21",522193,53.3964444306,-113.7130276679,"Alberta","Alces alces"
41327871,"2019-10-07",522193,50.8994686329,-109.1212958584,"Saskatchewan","Alces alces"
101672957,"2021-11-02",522193,51.1138121001,-114.2516531423,"Alberta","Alces alces"
81463448,"2019-07-26",522193,45.5436033333,-78.6719133333,"Ontario","Alces alces"
141809297,"2022-11-12",522193,46.042975,-74.1875833333,"Québec","Alces alces"
141809935,"2022-11-12",522193,46.042975,-74.1875833333,"Québec","Alces alces"
41356093,"2019-06-14",522193,49.2957859058,-120.5881879217,"British Columbia","Alces alces"
21208033,"2019-03-13",522193,53.3056411743,-107.6100921631,"Saskatchewan","Alces alces"
21213095,"2010-08-07",522193,51.7515857773,-89.1766040681,"Ontario","Alces alces"
21213608,"2010-08-06",522193,51.0914377288,-90.986584144,"Ontario","Alces alces"
21219912,"2018-06-02",522193,48.3003912835,-79.3462182609,"Québec","Alces alces"
121814790,"2022-06-14",522193,55.0999945,-118.769645,"Alberta","Alces alces"
21233927,"2018-12-25",522193,45.1070795248,-72.5055517403,"Québec","Alces alces"
121829879,"2022-06-14",522193,54.4901910992,-122.681610437,"British Columbia","Alces alces"
141897924,"2022-11-13",522193,46.0430083333,-74.187575,"Québec","Alces alces"
21258434,"2019-03-14",522193,50.961276721,-114.1327664343,"Alberta","Alces alces"
